ID,NAME,ANIM_FIRE,RUMBLE_L,RUMBLE_R,RUMBLE_D,ANIM_RELOAD,SIGHTED_TRANS,UNSIGHTED_TRANS,SPEED,ATTACK_DELAY,CAPACITY,WEIGHT,ATTACK_SPEED,AP
00729bfe,Cremator,0.0,0.5,0.55,0.2,3.833,0.25,0.3,1.0,0.665,90,15.0,0.833,30.0
00055463,Crossbow,0.0,0.9,0.9,0.25,2.833,0.175,0.2,1.0,0.15,1,6.0,0.667,28.0
00055463,Crossbow,0.0,0.9,0.9,0.25,2.833,0.2,0.2,1.0,0.15,1,6.0,0.667,28.0
000ff21d,CryoGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
0010c669,CryoMine,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
00171b2b,Cryolator,0.0,0.4,0.5,0.15,2.5,0.2,0.2,1.0,0.1,25,10.0,2.2,20.0
0005a937,CultistBlade,,,,,,,,1.0,0.0,0,3.0,1.139,30.0
0005a937,CultistBlade,,,,,,,,1.0,0.0,0,3.0,1.139,30.0
0008e015,CultistDagger,,,,,,,,1.0,0.0,0,1.0,0.794,20.0
003fbba1,D01C_BugGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
00661ec3,DEL_E09A_MoleMiner_UltraciteRifle_OLD,0.03334333375096321,0.800000011920929,0.800000011920929,0.20000000298023224,1.3333333730697632,0.20000000298023224,0.20000000298023224,1.0,0.30000001192092896,20,7.0,1.0,25.0
006695d7,DEL_SingleActionRevolver_Nuka,9.999999747378752e-06,0.8999999761581421,0.800000011920929,0.25,3.0000100135803223,0.11999999731779099,0.15000000596046448,1.0,0.15000000596046448,6,4.0,0.8333333134651184,35.0
006ea338,DEL_XPD_AC02_JulianSMG,9.999999747378752e-06,0.6000000238418579,0.6000000238418579,0.20000000298023224,3.0000100135803223,0.11999999731779099,0.15000000596046448,1.0,0.23330000042915344,30,3.0,2.200000047683716,28.0
006b3a47,DEL_XPD_OvergrownPollinatorBite,,,,,,,,1.0,1.0,0,0.0,1.5633000135421753,20.0
006b3a45,DEL_XPD_OvergrownPollinatorBlast,0.5,0.5,1.0,0.33000001311302185,0.0,0.20000000298023224,0.20000000298023224,1.0,8.0,0,3.0,1.5,20.0
006b3a46,DEL_XPD_OvergrownPollinator_Breath,2.0,0.5,1.0,0.33000001311302185,0.0,0.25,0.15000000596046448,1.0,8.0,0,25.0,2.0,20.0
006b3a44,DEL_XPD_OvergrownPollinator_PoisonSpit,0.5,0.5,1.0,0.33000001311302185,0.0,0.25,0.25,1.0,1.0,0,25.0,1.5,20.0
006b52b2,DEL_crJerseyDevilTailSwipe,0.6333000063896179,0.05000000074505806,0.05000000074505806,0.10000000149011612,0.0,0.25,0.25,1.0,0.0,0,3.0,1.166700005531311,20.0
006b3e26,DEL_crJerseyDevilThrow,0.6333433389663696,0.05000000074505806,0.05000000074505806,0.10000000149011612,0.0,0.25,0.25,1.0,0.0,0,3.0,1.1666666269302368,20.0
006ccadd,DEL_crLesserDevilChargeAttack,,,,,,,,1.0,0.0,0,0.0,0.7832000255584717,20.0
006ccade,DEL_crLesserDevilTailSwipe,0.6333000063896179,0.05000000074505806,0.05000000074505806,0.10000000149011612,0.0,0.25,0.25,1.0,0.0,0,3.0,1.166700005531311,20.0
005f838e,DEL_crMoleMinerBoss_NukeLauncher_DailyOps,0.0333000011742115,0.800000011920929,0.800000011920929,0.4000000059604645,1.333299994468689,0.25,0.20000000298023224,1.25,2.0,1,20.0,1.0,45.0
006e359d,DEL_crOvergrownBoneClub,,,,,,,,1.0,0.0,0,3.0,1.1388938426971436,30.0
006eb629,DEL_crOvergrownElderSporeGun_Automatic,9.999999747378752e-06,0.800000011920929,0.800000011920929,0.20000000298023224,3.3666768074035645,0.20000000298023224,0.20000000298023224,1.0,0.25,20,8.0,1.0,32.0
00617303,DEL_crPRCBoss_RiotShotgun_DailyOps,9.999999747378752e-06,0.8999999761581421,0.8999999761581421,0.20000000298023224,2.5000100135803223,0.20000000298023224,0.20000000298023224,1.0,0.5,8,7.0,0.8333333134651184,35.0
00661ec2,DEL_crUnarmedUltraciteAbomination,,,,,,,,1.0,0.0,0,0.0,1.6332999467849731,20.0
004540c8,DEPRECATED_ATX_DeathTambo_JingleBell,,,,,,,,1.0,0.0,0,0.5,1.138897180557251,25.0
0011203e,DEPRECATED_DLC05PaintballGunBlue,0.30000001192092896,0.800000011920929,0.6000000238418579,0.20000000298023224,10.0,0.17499999701976776,0.17499999701976776,1.0,0.18000000715255737,0,100.0,0.30000001192092896,30.0
0011204a,DEPRECATED_DLC05PaintballGunGlow,0.30000001192092896,0.800000011920929,0.6000000238418579,0.20000000298023224,10.0,0.17499999701976776,0.17499999701976776,1.0,0.18000000715255737,0,100.0,0.30000001192092896,30.0
00112046,DEPRECATED_DLC05PaintballGunGreen,0.30000001192092896,0.800000011920929,0.6000000238418579,0.20000000298023224,10.0,0.17499999701976776,0.17499999701976776,1.0,0.18000000715255737,0,100.0,0.30000001192092896,30.0
00112048,DEPRECATED_DLC05PaintballGunOrange,0.30000001192092896,0.800000011920929,0.6000000238418579,0.20000000298023224,10.0,0.17499999701976776,0.17499999701976776,1.0,0.18000000715255737,0,100.0,0.30000001192092896,30.0
00112047,DEPRECATED_DLC05PaintballGunRed,0.30000001192092896,0.800000011920929,0.6000000238418579,0.20000000298023224,10.0,0.17499999701976776,0.17499999701976776,1.0,0.18000000715255737,0,100.0,0.30000001192092896,30.0
0011204b,DEPRECATED_DLC05PaintballGunWhite,0.30000001192092896,0.800000011920929,0.6000000238418579,0.20000000298023224,10.0,0.17499999701976776,0.17499999701976776,1.0,0.18000000715255737,0,100.0,0.30000001192092896,30.0
0011204c,DEPRECATED_DLC05PaintballGunYellow,0.30000001192092896,0.800000011920929,0.6000000238418579,0.20000000298023224,10.0,0.17499999701976776,0.17499999701976776,1.0,0.18000000715255737,0,100.0,0.30000001192092896,30.0
0034cbd7,DEPRECATED_MTNL01_PumpActionShotgun_Fancy,9.999999747378752e-06,0.8999999761581421,0.8999999761581421,0.20000000298023224,2.5000100135803223,0.20000000298023224,0.20000000298023224,1.0,0.5,8,7.0,0.8333333134651184,35.0
003f5e94,DEPRECATED_P01B_Burrows_AssaultronBlade,,,,,,,,1.0,0.0,0,1.0,1.1388938426971436,35.0
006ccadb,DEl_crJerseyDevilChargeAttack_01,,,,,,,,1.0,0.0,0,0.0,0.7832000255584717,20.0
0010faa7,DLC01AssaultronHeadCharging,0.0,0.7,0.2,0.2,0.833,0.2,0.2,1.0,0.15,5,8.0,0.667,30.0
0010f0ec,DLC01LightningGun,0.033,0.8,0.8,0.4,4.2,0.25,0.2,1.0,0.5,15,8.0,0.833,30.0
0010f0ec,DLC01LightningGun,0.033,0.8,0.8,0.4,4.2,0.25,0.2,1.0,0.5,15,8.0,0.833,30.0
0010ec97,DLC01MrHandyBuzzBlade,,,,,,,,1.0,0.0,0,10.0,1.8,4.0
0010f3f2,DLC01_AssaultronBlade,,,,,,,,1.0,0.0,0,1.0,1.139,35.0
005e6f9e,DLC01_AssaultronBlade_TheGutter,,,,,,,,1.0,0.0,0,1.0,1.139,35.0
001109cf,DLC03_HarpoonGun,0.0,0.7,0.7,0.4,4.1,0.25,0.2,1.0,1.0,1,16.0,1.0,40.0
00110e32,DLC03_LeverGun,0.0,0.5,1.0,0.33,1.767,0.2,0.2,1.0,0.5,5,6.0,0.833,26.0
00111562,DLC03_MeatHook,,,,,,,,1.0,0.0,0,2.0,1.139,30.0
00110771,DLC03_PoleHook,,,,,,,,1.0,0.0,0,7.0,1.8,40.0
0011475b,DLC04_CommieWhacker,,,,,,,,1.0,0.0,0,2.0,1.139,25.0
00113849,DLC04_FragGrenadeMIRV,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,1.0,1.833,20.0
00113854,DLC04_HandMadeGun,0.0,0.8,0.8,0.2,3.033,0.2,0.2,1.0,0.25,20,8.0,0.667,32.0
00113d0f,DLC04_NukaQuantumGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
001129cd,DLC04_PaddleBall,0.367,0.9,0.8,0.2,1.067,0.15,0.15,1.0,0.4,20,2.0,1.0,10.0
00683d94,DLC04_PaddleBall_NWOT,0.367,0.9,0.8,0.2,1.067,0.15,0.15,1.0,0.4,20,2.0,1.0,10.0
00113d6a,DLC04_Revolver,0.0,0.9,0.8,0.25,3.333,0.12,0.15,1.0,0.15,6,4.0,0.833,35.0
001142b1,DLC04_TurretMountedLaserGunSpaceBlue,0.333,0.1,0.3,0.15,0.0,0.25,0.25,1.0,2.0,0,25.0,2.667,20.0
0011202c,DLC05WorkshopFireworkWeaponPalmGold,0.0,0.1,0.3,0.15,3.933,0.3,0.3,1.0,0.0,1,25.0,1.0,30.0
00112021,DLC05WorkshopFireworkWeaponPalmSilver,0.0,0.1,0.3,0.15,3.933,0.3,0.3,1.0,0.0,1,25.0,1.0,30.0
00111fd2,DLC05WorkshopFireworkWeaponPeonyBlue,0.0,0.1,0.3,0.15,3.933,0.3,0.3,1.0,0.0,1,25.0,1.0,30.0
00111fd1,DLC05WorkshopFireworkWeaponPeonyCrackle,0.0,0.1,0.3,0.15,3.933,0.3,0.3,1.0,0.0,1,25.0,1.0,30.0
00111d8a,DLC05WorkshopFireworkWeaponPeonyGreen,0.0,0.1,0.3,0.15,3.933,0.3,0.3,1.0,0.0,1,25.0,1.0,30.0
00111fcf,DLC05WorkshopFireworkWeaponPeonyPink,0.0,0.1,0.3,0.15,3.933,0.3,0.3,1.0,0.0,1,25.0,1.0,30.0
00111d8b,DLC05WorkshopFireworkWeaponPeonyRed,0.0,0.1,0.3,0.15,3.933,0.3,0.3,1.0,0.0,1,25.0,1.0,30.0
00111fd0,DLC05WorkshopFireworkWeaponPeonyYellow,0.0,0.1,0.3,0.15,3.933,0.3,0.3,1.0,0.0,1,25.0,1.0,30.0
00111d8c,DLC05WorkshopFireworkWeaponWeatherClear,0.0,0.1,0.3,0.15,3.933,0.3,0.3,1.0,0.0,1,25.0,1.0,30.0
00111d8d,DLC05WorkshopFireworkWeaponWeatherRadstorm,0.0,0.1,0.3,0.15,3.933,0.3,0.3,1.0,0.0,1,25.0,1.0,30.0
00111d8e,DLC05WorkshopFireworkWeaponWeatherRain,0.0,0.1,0.3,0.15,3.933,0.3,0.3,1.0,0.0,1,25.0,1.0,30.0
00183fcd,DN160_GrognakAxe,,,,,,,,1.0,0.0,0,10.0,1.8,20.0
00183fcd,DN160_GrognakAxe,,,,,,,,1.0,0.0,0,10.0,1.8,20.0
00684975,DailyOps_crAlienBlaster_Cryo,0.033,0.9,0.8,0.2,2.867,0.12,0.15,1.0,0.25,0,2.0,1.0,20.0
006847f1,DailyOps_crAlienRifle,0.0,0.8,0.8,0.2,1.833,0.2,0.2,1.0,0.5,0,7.0,0.667,25.0
005dc82e,DailyOps_crAssaultronLaser,0.033,0.5,1.0,0.33,1.833,0.25,0.25,1.0,1.0,0,8.0,2.2,20.0
0000dc55,DeathTambo,,,,,,,,1.0,0.0,0,0.5,1.139,25.0
000d8576,DeathclawGauntlet,,,,,,,,1.0,0.0,0,10.0,1.139,40.0
005fce8c,DeathclawGauntlet_UnstoppableMonster,,,,,,,,1.0,0.0,0,10.0,1.139,40.0
004428eb,Debug_balance_10mm,0.0,0.6,0.6,0.2,2.333,0.15,0.15,1.0,0.233,12,3.0,0.7,20.0
00092217,DoubleBarrelShotgun,0.0,0.9,0.9,0.3,3.067,0.2,0.2,1.0,0.275,2,6.0,1.0,30.0
00690c7e,DoubleBarrelShotgun_ColdShoulder,0.0,0.9,0.9,0.3,3.067,0.2,0.2,1.0,0.275,2,6.0,1.0,30.0
0054a77c,DoubleBarrelShotgun_WL005,0.0,0.9,0.9,0.3,3.067,0.2,0.2,1.0,0.275,2,6.0,1.0,30.0
00081dd5,Drill,0.0,0.4,0.6,0.3,0.0,0.15,0.15,1.0,0.15,0,2.0,1.139,4.0
0006e514,DummyHandmadeDontUse,,,,,,,,1.0,0.0,0,0.0,1.139,20.0
0055c15a,DynamiteBundleGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
0055c159,DynamiteGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
0062eeed,E07B_Invaders_MissileStrikeWeapon,0.0,0.1,0.3,0.15,3.933,0.3,0.3,1.0,0.0,1,25.0,1.0,30.0
00633475,E08A_GulperSmacker,,,,,,,,1.0,0.0,0,3.0,1.8,35.0
00647820,E08B_Blunderbuss_PiratePunch,0.0,0.6,0.6,0.2,5.0,0.12,0.15,1.0,0.0,1,3.0,0.667,28.0
006477ec,E08B_CombatShotgun_CrowdControl,0.0,0.9,0.9,0.2,3.2,0.2,0.2,1.0,0.5,8,7.0,0.833,35.0
006477ef,E08B_DeathTambo_ToneDeath,,,,,,,,1.0,0.0,0,0.5,1.139,25.0
006477ee,E08B_HuntingRifle_DoctorsOrders,0.0,0.9,0.9,0.25,4.0,0.2,0.2,1.25,0.15,5,6.0,0.833,28.0
00646880,E08B_Minigun_FoundationsVengeance,1.0,1.0,1.0,0.15,3.367,0.3,0.3,2.0,0.0,500,18.0,2.2,30.0
006477ed,E08B_SuperSledge_TheDebilitator,,,,,,,,1.0,0.0,0,20.0,1.8,45.0
00668807,E09A_BaseballBat_RatBat,,,,,,,,1.0,0.0,0,3.0,1.8,35.0
00668991,E09A_Broadsider_GrandFinale,0.0,1.0,1.0,0.5,3.933,0.3,0.3,1.0,0.5,1,16.0,1.0,40.0
00677671,E09A_MoleMinerM79,0.033,0.9,0.9,0.3,1.333,0.2,0.2,1.0,0.0,1,6.0,1.0,30.0
00662761,E09B_SuperSledge_WhackerSmacker,,,,,,,,1.5,0.0,0,20.0,1.8,45.0
006667cf,E09C_CompoundBow_BurningLove,0.0,0.6,0.6,0.2,2.667,0.15,0.15,1.0,0.5,1,3.0,0.833,20.0
0066275f,E09C_SubmachineGun_LoveTap,0.0,0.7,0.7,0.15,3.233,0.2,0.2,1.4,0.15,50,7.0,2.2,35.0
0066957f,E09D_LeverGun_WesternSpirit,0.0,0.5,1.0,0.33,1.767,0.2,0.2,1.0,0.5,7,6.0,0.833,26.0
00663505,E09D_SingleActionRevolver_GunthersRevolver,0.0,0.9,0.8,0.25,3.0,0.12,0.15,1.35,0.15,6,4.0,0.833,35.0
0029cc0f,EN02_OrbitalStrikeGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,1.0,1.833,20.0
004e42a1,EN02_OrbitalStrikeWeapon,0.0,0.1,0.3,0.15,3.933,0.3,0.3,1.0,0.0,1,25.0,1.0,30.0
00052213,EN02_ScanGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,1.0,1.833,20.0
00630c7d,ElectroEnforcer,,,,,,,,1.0,0.0,0,8.0,1.8,40.0
002fd97a,Enclave_PlasmaGun,0.033,0.5,0.6,0.2,2.333,0.2,0.2,1.0,0.3,30,3.0,1.0,25.0
0060a29c,FaceBreaker,,,,,,,,1.0,0.0,0,4.0,1.139,35.0
000bd56f,Fatman,0.167,0.6,0.8,0.5,5.633,0.3,0.2,1.0,0.0,1,20.0,1.0,60.0
005a205c,FestiveScorched_BearArm,,,,,,,,1.0,0.0,0,10.0,1.097,40.0
0012b793,Fire_Axe,,,,,,,,1.0,0.0,0,3.0,1.8,30.0
005566dc,Firework_Mine_Blue,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.1,1.833,0.0
005566dd,Firework_Mine_Green,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.1,1.833,0.0
005566de,Firework_Mine_Red,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.1,1.833,0.0
000e5881,Flamer,0.033,0.5,0.55,0.2,3.833,0.25,0.3,1.0,0.15,100,15.0,2.2,30.0
0055c157,FlareGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
001025ac,FlareGun,0.0,0.3,0.3,0.2,4.533,0.12,0.15,1.0,0.0,1,2.0,0.833,40.0
00592ea7,FloaterFlamerGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
00592eab,FloaterFreezerGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
00592ea9,FloaterGnasherGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
000897ff,FusionCoreWeapon,0.0,0.1,0.3,0.15,0.0,0.25,0.25,0.25,0.0,1,40.0,0.3,20.0
000ddb7c,GammaGun,0.0,0.3,0.6,0.2,4.333,0.12,0.15,1.0,0.15,8,3.0,0.667,30.0
000001f6,GasTrapDummy,,,,,,,,1.0,0.0,0,0.0,0.30000001192092896,20.0
00011bf6,GatlingGun,0.033,1.0,1.0,0.15,3.167,0.3,0.3,1.0,1.15,250,18.0,10.033,30.0
000e27bc,GatlingLaser,1.0,0.7,0.7,0.15,4.867,0.3,0.3,2.0,0.15,500,18.0,2.2,30.0
005eefe2,GatlingLaser_NONPLAYABLE,1.0,0.7,0.7,0.15,4.867,0.3,0.3,2.0,0.15,500,18.0,2.2,30.0
0001ec47,GatlingPlasma,1.0,0.7,0.7,0.15,6.833,0.3,0.3,1.0,0.15,500,18.0,2.2,30.0
0055c156,Gauntlet,,,,,,,,1.0,0.0,0,6.0,1.139,40.0
0055c151,GaussMinigun,1.0,1.0,1.0,0.15,3.367,0.3,0.3,1.0,0.0,500,18.0,2.2,30.0
0054a165,GaussPistol,0.0,0.8,0.8,0.4,4.1,0.15,0.15,1.0,0.15,18,4.0,0.667,35.0
0061dabe,GaussPistol_NONPLAYABLE,0.0,0.8,0.8,0.4,4.1,0.15,0.15,1.0,0.15,18,4.0,0.667,35.0
000d1eb0,GaussRifle,0.0,0.8,0.8,0.4,4.2,0.25,0.2,1.0,0.15,5,8.0,0.833,30.0
00073677,GolfClub,,,,,,,,1.0,0.0,0,3.0,1.8,40.0
00045884,Grenade_Pumpkin,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
0000dc56,GuitarSword,,,,,,,,1.0,0.0,0,3.0,1.139,35.0
00148b48,Gutsy02LeftArmLaserGunAuto,0.0,0.3,0.5,0.25,0.0,0.15,0.15,1.0,0.1,0,10.0,5.567,20.0
000e98e5,HalluciGenGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,1.0,1.833,20.0
0010d808,Hatchet,,,,,,,,1.0,0.0,0,3.0,1.139,30.0
